as_of,a,b,beta,adf_stat,adf_pvalue
2024-11-01,ORCL,QCOM,0.5263634278313344,0.04197476602151791,0.961868742004371
2024-11-01,CRM,CSCO,0.5314413061134026,-3.1850806241653773,0.02086467668150168
2024-11-01,CRM,QCOM,0.12571417288282355,-2.37651896523697,0.14847371746316812
2024-11-01,CSCO,QCOM,-0.0812731179411588,-1.0780347161514736,0.723751455306771
2024-12-03,AAPL,MSFT,0.9357265206876499,-0.6035027072310553,0.8701885926302226
2024-12-03,AAPL,GOOG,0.6671434745639113,-0.9288693424887071,0.7783167453222308
2024-12-03,AAPL,META,0.36235977687424986,-1.107527724212753,0.7120606183743841
2024-12-03,AAPL,NVDA,0.22461668929695955,-1.3197918433353875,0.6200695847209068
2024-12-03,AAPL,AMD,-0.40232998078880183,-1.7851116751337341,0.38787798269469587
2024-12-03,AAPL,INTC,-0.2864618162709119,-2.0511242151991977,0.2646161650560305
2024-12-03,AAPL,ADBE,0.017070383430239422,-0.3773462543935205,0.9138129860672228
2024-12-03,AAPL,ORCL,0.4945297818003402,-1.7870182719078074,0.3869255410321251
2024-12-03,AAPL,CRM,-0.13734177176474527,-0.3136943441053936,0.9235422852083032
2024-12-03,AAPL,CSCO,0.7748683536716408,-1.2190122132053622,0.6653641356936681
2024-12-03,AAPL,QCOM,0.24396070769554715,-0.11338081232067944,0.9480893355074551
2024-12-03,MSFT,GOOG,0.41283589945689314,-2.593849281901292,0.09427517097933336
2024-12-03,MSFT,META,0.24970476231854236,-2.391714373178015,0.14408863490991303
2024-12-03,MSFT,NVDA,0.12528857968287363,-3.020394979729456,0.03303316592889007
2024-12-03,MSFT,AMD,0.17368007688181095,-1.9869112964348097,0.29234136270227473
2024-12-03,MSFT,INTC,-0.0752793221513174,-2.788163263119976,0.05998455525441636
2024-12-03,MSFT,ADBE,-0.21244058045996983,-2.8473900263837852,0.05181678844085858
2024-12-03,MSFT,ORCL,0.16562149283976335,-2.732518239753254,0.06857823843075261
2024-12-03,MSFT,CRM,0.01894203558348706,-2.519409901548728,0.11082282721314451
2024-12-03,MSFT,CSCO,0.03585595388824758,-2.5369076230617766,0.10675055467823608
2024-12-03,MSFT,QCOM,0.34911785340743656,-2.670279237501055,0.07932396553587301
2024-12-03,GOOG,META,0.38530714747088396,-1.6768591312291594,0.44307304818709314
2024-12-03,GOOG,NVDA,0.23566823420925093,-2.2942155329745124,0.17384036486344018
2024-12-03,GOOG,AMD,-0.07400101649844348,-2.3465451102536083,0.15739517094821825
2024-12-03,GOOG,INTC,-0.19808160292679516,-2.462674904386446,0.1248220052707048
2024-12-03,GOOG,ADBE,-0.5797331649726093,-2.5726973275130334,0.09877248394270327
2024-12-03,GOOG,ORCL,0.32861501072849886,-2.3214532969506245,0.16514217566737122
2024-12-03,GOOG,CRM,-0.11797116542854252,-2.1780860654310015,0.21429485995721154
2024-12-03,GOOG,CSCO,0.16752095612907092,-2.1062918257941905,0.24199216489245107
2024-12-03,GOOG,QCOM,0.63818956527256,-2.026995582353907,0.274863330544997
2024-12-03,META,NVDA,0.4233382140908893,-2.5703014522648315,0.09929200570912228
2024-12-03,META,AMD,0.30553500926567156,-1.4365242831953942,0.5646461443367339
2024-12-03,META,INTC,-0.3743141929901677,-2.873288115505771,0.04854356955384372
2024-12-03,META,ADBE,-0.9520657904155245,-2.2643836165187325,0.18371230973837865
2024-12-03,META,ORCL,0.6887947342656487,-3.5482526552348763,0.006830969613560516
2024-12-03,META,CRM,0.6008719156412666,-2.4231251526702753,0.13531559083283456
2024-12-03,META,CSCO,0.9511260500495478,-2.5868973262651362,0.0957356753856789
2024-12-03,META,QCOM,0.6934746328188993,-1.2858742136247265,0.6356098455116935
2024-12-03,NVDA,AMD,0.15106276982767786,-1.7806576422546037,0.3901060347280065
2024-12-03,NVDA,INTC,-0.8961267067251113,-2.6807714385712016,0.07742516268843572
2024-12-03,NVDA,ADBE,-2.0646531407967377,-2.0275376651639507,0.2746308204651521
2024-12-03,NVDA,ORCL,1.558063350974353,-2.7220260118751125,0.07030374281926309
2024-12-03,NVDA,CRM,0.4439017556428115,-2.2885737326299846,0.1756796564110279
2024-12-03,NVDA,CSCO,1.6684514686118534,-2.120300032813936,0.23643058588543214
2024-12-03,NVDA,QCOM,1.9572096974609188,-0.37829637134059835,0.9136599262701663
2024-12-03,AMD,INTC,0.1408130160815434,-3.485834526961007,0.008358433913808146
2024-12-03,AMD,ADBE,-0.04252610833211884,-2.930274417478098,0.04193906446836274
2024-12-03,AMD,ORCL,-0.10431898005249182,-3.180342641579765,0.021151094676149326
2024-12-03,AMD,CRM,0.32129999554239386,-2.657717680738648,0.08164505642681541
2024-12-03,AMD,CSCO,-0.26224379497509587,-3.1957733432607065,0.020230641971867636
2024-12-03,AMD,QCOM,0.2746876521044785,-2.522507978530378,0.11009349118526834
2024-12-03,INTC,ADBE,1.3448420280186102,-0.9381909346022883,0.7751356439495923
2024-12-03,INTC,ORCL,-1.2498987343077799,-2.405325250832473,0.14023903371533558
2024-12-03,INTC,CRM,0.265270893988478,-0.7279918069250524,0.839365202098893
2024-12-03,INTC,CSCO,-1.4898411720434663,-1.4713460793928614,0.547635424207054
2024-12-03,INTC,QCOM,-0.8688005793695561,-1.0559794021021713,0.7323039524860081
2024-12-03,ADBE,ORCL,-0.17234855598468216,-2.370200479508074,0.1503243176301936
2024-12-03,ADBE,CRM,-0.11982075045871754,-2.2984904319442045,0.17245529950096528
2024-12-03,ADBE,CSCO,-0.10188235966612547,-2.2304599181106872,0.1953765488810229
2024-12-03,ADBE,QCOM,-0.41174284000498623,-2.7915956068533507,0.05948434054237562
2024-12-03,ORCL,CRM,0.6098654185107363,-0.6761991071449472,0.8528185665518291
2024-12-03,ORCL,CSCO,1.78500262221739,-1.6041707098028595,0.4814980727377379
2024-12-03,ORCL,QCOM,0.5054938861122913,0.25894601381652743,0.9753805358699736
2024-12-03,CRM,CSCO,0.8520211801206393,-2.248937691691425,0.1889654503321347
2024-12-03,CRM,QCOM,-0.18200203669489634,-1.9252319381115446,0.32028588033239236
2024-12-03,CSCO,QCOM,-0.13871047684580196,-0.33363008651142156,0.9206044097934667
2025-01-03,AAPL,MSFT,1.6145298129918815,-1.0176248563529524,0.746781885709522
2025-01-03,AAPL,GOOG,0.9057064212459448,-1.4597609138159016,0.5533149072143202
2025-01-03,AAPL,META,0.6739634854611911,-1.7993802330938162,0.38076943405998465
2025-01-03,AAPL,NVDA,0.3622762718780139,-2.166539040805313,0.21861315305106732
2025-01-03,AAPL,AMD,-0.67123941325609,-2.7847847138598603,0.06048024696188203
2025-01-03,AAPL,INTC,-0.3455805633782488,-2.3253180164399465,0.16393236433370634
2025-01-03,AAPL,ADBE,-0.14261382309478665,-0.8409203350866788,0.8068056187783258
2025-01-03,AAPL,ORCL,0.586661467227958,-1.84149038017497,0.3600659810553183
2025-01-03,AAPL,CRM,0.1887457852448881,-0.7607583902310077,0.8303781821719103
2025-01-03,AAPL,CSCO,0.9021662049860197,-1.4827346329124027,0.5420343256003389
2025-01-03,AAPL,QCOM,0.13662017017886313,-0.4091373112431929,0.9085619588398222
2025-01-03,MSFT,GOOG,0.31606635550036344,-3.4123314922044754,0.010545606671119444
2025-01-03,MSFT,META,0.20569661291136224,-2.8214755990914813,0.05527100752875961
2025-01-03,MSFT,NVDA,0.10845224162838207,-3.3068346962330946,0.014575713953820556
2025-01-03,MSFT,AMD,-0.02401202560574034,-3.674403190885198,0.00448794629296695
2025-01-03,MSFT,INTC,-0.05013242722489844,-3.5360001159542342,0.007109262060429851
2025-01-03,MSFT,ADBE,-0.09606446164110494,-3.655241737519035,0.00478862667101623
2025-01-03,MSFT,ORCL,0.12599966543979482,-3.379665621589551,0.011671912328493805
2025-01-03,MSFT,CRM,0.03470184173460017,-3.484114275854866,0.008404569754128677
2025-01-03,MSFT,CSCO,0.0791778228202834,-3.566028997417583,0.0064446954889537085
